Parcel / Reference ,COA #,Legal Description,Address,Code,Taxes Owed for Sale 337
100114 / OWEN00124  10,320,"Lot 13, Block 2, M. E. B. Gerding Gardens, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3044 North 32nd Street),( V ),"Taxes from 2007 thru 2015= $12,166.53"
111880 / SCRO00007  300,321,"Lot 8, except the North 5 feet, Block 3, SILVER PLACE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2300 Sherman Street),( V ),Taxes from 2010 thru 2015= $336.91
115816 / YOUN00066  10,322,"Lot 27 and the East 8 feet of Lot 28, GLENWOOD, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1503 Georgia Avenue),( V ),Taxes from 1998 thru 2015= $813.61
119819 / QUIJ00006  10,323,"Lot 26, GAYLORD AND PERKINS ADDITION TO WYANDOTTE CITY, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 232 North Early Street),( V ),"Taxes from 2004 thru 2015= $17,164.72"
156140 / WEST00095  10,324,"All of Lot 18, Block 1, GROENE PARK, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2711 North 9th Street),( V ),"Taxes from 1985 thru 2015= $12,368.25"
904516 / NEWT00030  10,326,"TRACT I:   Beginning at a point on the East line of North Mill Street in Kansas City, Kansas, 30 feet East and 243.5 feet South of the Northwest corner of Section 15, Township 11, Range 25, in Wyandotte County, Kansas, thence East 120 feet to an alley, thence Sout 25 feet, thence West 120 feet to the East line of Mill Street, thence North 25 feet to the place of beginning.  TRACT II:  Beginning at the Nortwest corner of Lot 8, Block 34, RIVERVIEW, an addition now in and a part of Kansas City, Wyandotte County, Kansas, thence North 24 feet, thence East 120 feet, thence South to an alley in said Block 34, thence Southwesterly along said alley to the Northeast corner of said Lot 8, thence West on the North line of said Lot 8 to the point of beginning at the Northwest corner of said Lot 8 and the East line of Mill Street.",(Approx .Add. 19 North Mill & 21 North Mill Street),( V ),"Taxes from 1984 thru 2015= $35,611.93"
075226 / BLOC00037  10,327,"Lots 43, 44 and the South half of Lot 45, Block 1, CHELSEA PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1947 North 25th Street),( V ),"Taxes from 2008 thru 2015= $18,939.26"
952212 / HENL00004  110,328,"The West 1/2 of the Southwest 1/4, South of UPRR & North of river, in Section 27, Township 11, Randge 23, in Bonner Springs, Wyandotte County, Kansas.",(Approx .Add. 11751 Kaw Drive),( V ),"Taxes from 1986 thru 2015= $28,988.90"
917509 / LEWI00169  10,330,"Beginning at a point 299.0 feet South of the Northwest corner of the Northeast Quarter of Section 26, Township 10, Range 24, In Kansas City, Wyandotte County, Kansas; thence South 466.6 feet, thence East 320.0 feet; thence North 12 degrees 29 minutes 05 Seconds West 462.58 feet, thence North 86 degrees 05 minutes 58 seconds West 220.57 feet to the point of beginning, less that part taken or used for road purposes.",(Approx .Add. 3817 North 55th Street),( C/I ),"Taxes from 2008 thru 2015= $86,598.76"
068924 / GREE00274  10,338,"Lot 16, Block 5, CHELSEA PLACE, an addition now in and a part of Kansas City, WYandotte County, Kansas.",(Approx .Add. 2214 Franklin Avenue),( I ),"Taxes from 2008 thru 2015= $9,543.39"
068949 / WEBS00004  10,340,"The West 20 feet of Lot 14 and the East 12.5 feet of Lot 15, Block 4, CHELSEA PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2206 Garfield Avenue),( I ),"Taxes from 2006 thru 2015= $11,286.29"
068964 / WATS00061  10,341,"The East 13 feet of Lot 2 and the West 18.5 feet of Lot 3, Block 4, CHELSEA PLACE, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2237 Troup Avenue),( I ),"Taxes from 2013 thru 2015= $1,842.26"
068966 / VEND00005  10,342,"Lot 4, Block 4, in CHELSEA PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2233 Troup Avenue),( I ),"Taxes from 2007 thru 2015= $5,486.76"
069125 / GARC00108  10,346,"Lot 15, Block 1, FERREE PLACE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 27 North Boeke Street),( I ),"Taxes from 2008 thru 2009= $2,130.06"
158439 / SAUL00009  10,348,"Lot 7, Block 4, FOREST PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1727 Cleveland Avenue),( I ),"Taxes from 2008 thru 2015= $2,274.94"
160101 / KING00159  10,349,"Commencing 1440.1 feet North and 1485 feet West of the Southeast corner of the Southwest Quarter of Section 32, Township 10, Range 25; thence North 50.0 feet; thence East 190.0 feet; thence South 50.0 feet; thence West 190.0 feet to the point of beginning, less that portion across the West end used for street purposes; and Commencing 1490.1 feet North and 1485.0 feet West of the Southeast corner of the Southwest Quarter of Section 32, Township 10, Range 25; thence North 50.0 feet; thence East 190.0 feet; thence South 50.0 feet; thence West 190.0 feet to the point of beginning, less that portion across the West end used for street purposes, all in Kansas City, Wyandotte County, Kansas. ",(Approx .Add. 2315 North 22nd Street),( I ),"Taxes from 2010 thru 2015= $1,737.49"
160153 / SOLO00004  10,350,"That part of Lot 6 in the subdivision of KLAMM ESTATE in Kansas City, Wyandotte County, Kansas, described as follows: Beginning 1221 feet East and 45 feet North of the Northwest corner of the Southwest quarter of Section 32, Township 10, Range 25; thence East 134.50 feet; thence South 45 feet; thence West 134.5 feet; thence North 45 feet to the point of beginning.",(Approx .Add. 2615 North 22nd Street),( V ),"Taxes from 2001 thru 2015= $1,137.79"
166352 / MARQ00045  80,353,"All that part of Lot A, Block 7, ADAMS AND KINGS ADDITION TO ARGENTINE, now in and a part of Kansas City, Wyandotte County, Kansas, and a portion of Section 19, Township 11, Range 25, described as follows: Beginning at a point 125 feet North of the Southeast corner of Lot a, in Block 7, in ADAMS AND KINGS ADDITION TO ARGENTINE, now in and a part of Kansas City, Wyandotte County, Kansas, thence North 25 feet thence West 120.1 feet thence South 25 feet, thence East 120.1 feet to the point of beginning.",(Approx .Add. 1313 South 34th Street),( I ),"Taxes from 2009 thru 2015= $4,803.94"
167461 / JOHN00840  10,355,"Lot 139, BRENTWOOD HILLS ADDITION, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3300 North 35th Street),( I ),"Taxes from 2011 thru 2015= $4,262.22"
185683 / CUTB00001  130,371,"Lot 57, THE PARKWAY, in the City of Edwardsville, Wyandotte County, Kansas.",(Approx .Add. 652 South 6th Street),( I ),"Taxes from 2013 thru 2015= $4,288.45"
186250 / RADC00008  130,373,"Lot 3, Block 32, in the City of EDWARDSVILLE, and addition in Edwardsville, Wyandotte County, Kansas.",(Approx .Add. 205 South 4th Street),( I ),"Taxes from 2013 thru 2015= $6,023.35"
186301 / GREE00085  130,375,"Lots 11 and 12, ORCHARD PLACE, a subdivision of land in Edwardsville, Wyandotte County, kansas.",(Approx .Add. 210 North 4th Street),( I ),"Taxes from 2013 thru 2015= $8,008.58"
186702 / ROLA00007  10,376,"Lot 11, WELBORN PARK, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 5224 Rowland Avenue),( I ),"Taxes from 2012 thru 2015= $8,653.63"
189500 / WISN00005  10,378,"Part 1 of Lot 1 of the subdivision of the ROBERT CURRAN ESTATE, being more particularly and definitely described as follows:  Beginning at a point 126 feet east of the Northwest corner of the Northeast 1/4 of Section 32, Township 10, Range 24, Kansas City, Wyandotte County, Kansas; thence South 382.65 feet to the center of the right of way of the Kansas City Northwestern railroad (now adandoned); thence Northeasterly along said center line 117.5 feet; thence North 349.50 feet; thence West 114.03 feet to the point of beginning. less that part taken or used for road purposes and the East 10 feet hereby reserved for private road.",(Approx .Add. 7853 Leavenworth Road),( I ),"Taxes from 2012 thru 2015= $5,156.00"
932701 / CHAR00023  40,384,"Commencing at the Southwest corner of the Northwest 1/4  at Section 17, Township 11,  Range 24, thence East 80 poles; thence North 56 poles; thence West 80 poles; thence South 56 poles to beginning, in Kansas City, Wyandotte County, Kansas,
LESS:
The West approximately 250 feet of the South Approximately 400 feet except the East 60 feet of the North 30 feet thereof of the South 28 acres of the Southwest 1/4 of the Northwest 1/4 of Section 17, Township 11, Range 24, less that part already taken for 86th Street described more specifically as folows; Beginning at a point where the South property line intersects the East right of way line of 86th Street, thence North along said right of way line approximately 400 foot to a paint 14 feet North of the Northernmost chain link fence corner, thence East approximately 190 feet to a point 30 feet due North of the Easternmost chain link fence corner, thence South 30 feet to said corner, thence East approximately 60 feet to a point 30 feet West of the existing North - South fence, thence South approximately 370 feet to the South property line, thence West along said property line approximately 250 feet to the point of begining. Subject to a non-exclusive drive easement being reserved by the seller over the North 10 feet of the West approximately 190 feet thereof for the purposes of ingress and egress to the balance sellers property. ",(Approx .Add. 115 R South 86th Street),( I ),"Taxes from 2009 thru 2015= $9,124.75"
940700 / MUNO00067  10,388,"Beginning 30 feet West of the Northeast corner of Section 1, Township 11, Range 23, in Wyandotte County, Kansas, thence South 429.5 feet; thence West 369.7 feet; thence North 429.5 feet; thence East 369.7 feet to point of beginning, less that part taken for road purposes.",(Approx .Add. 1930 North 94th Street),( I ),"Taxes from 2011 thru 2015= $9,917.13"
075313 / MONA00003  10,395,"Lots 6 & 7, Block 15, in CHELSEA PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1868 North 25th Street),( V ),"Taxes from 2007 thru 2015= $1,398.62"
912518 / WILD00002  80,397,"A tract of land lying partly in the Southeast Fractional Quarter of Section 18. Township 11 South, Range 25 East and partly in the Southwest Fractional Quarter of Section 17, Township 11 South, Range 25 East of the 6th Principal Meridian in Kansas City, Wyandotte County. Kansas, being more particularly described as follows:  Beginning at a point on the West line of the Southwest Quarter of said Section 17, which is North 00 degrees 06 minutes West, 142.9 feet from the Southwest corner of said Section 17, said point also being on the Southerly right-of-way line of Kansas Highway No. 132 as now established, thence South 62 degrees 59 minutes 57 seconds East, along said Southerly right-of-way line, 144.1 feet; thence South 8 degrees 44 minutes West along said right-of-way line, 16.48 feet to a point on the North right-of-way line of old K-132; thence South 89 degrees 14 minutes West along said Old right-of-way line, 101.99 feet to a point on the Section line dividing the Southwest Quarter of said Section 17 and the Southeast Quarter of said Section 18; thence South 89 degrees 34 minutes 26 seconds West, along said old right-of-way Line, 172.20 feet to a point on the Easterly right-of-way line of New Kansas Highway No. 132; thence North 6 degrees 21 minutes East, along said Easterly right-of-way line, 154.80 feet; thence South 61 degrees 13 minutes 18 seconds along said right-of-way line, 149.65 feet to the point of beginning of the tract herein described, less that part taken or used for road purposes.",(Approx .Add. 3424 Fairbanks Avenue),( C/I ),"Taxes from 2013 thru 2015= $8,539.50"
082191 / ELIZ00006  10,407,"Lots 33 and 34, Block 108, WYANDOTTE CITY, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 730 State Avenue),( C/I ),"Taxes from 2010 thru 2015= $4,880.33"
912502 / WILD00002  80,408,"All that part of the Southeast 1/4 of the Southeast 1/4 of Section 15, Township 11, Range 25, now in the City of Kansas City, Wyandotte County, Kansas, more particularly described as follows:  Commencing at the Southeast corner of the Southeast 1/4 of the Southeast 1/4 of said Section 18; thence North 89 degrees 34 minutes 26 seconds West, along the South line of the Southeast 1/4 of the Southeast 1/4 of said Section 18. a distance of 883.90 feet, thence North 0 degrees 25 minutes 34 seconds East,  along a line perpendicular to the South line of the Southeast 1/4 of the Southeast 1/4 of said Section 18, a distance of 60 feet to a point on the Northerly right-of-way line of old K-132 Highway, as now established, said point also being the true point of beginning of subject tract; thence North 0 degrees 35 minutes 47 seconds East, a distance of 396.28 feet, to a point on the Southerly right-of-way line of new K-32 Highway, as flow established; thence Easterly and Southeasterly, along the Southerly right-of-way line of said new K-132 Highway, said line being on a curve to the right having a radius of 2,755.37 feet, a central angle of 13 degrees 05 minutes 07 seconds and whose initial tangent bearing is South 79 degrees 47 minutes 45 seconds East, a distance of 629.27 feet; thence South 4 degrees 03 minutes 14 seconds West, along the Westerly right-of-way line of said new K-132 Highway, a distance of 220.27 feet, to a point 60 feet North of the South line of Southeast 1/4 of the Southeast 1/4 of said Section 18, said point also being on the Northerly right-of-way line of said old K-32 Highway; thence North 89 degrees 34 minutes 26 seconds West, along a line 60 feet North of and parallel to the South line of the Southeast 1/4 of the Southeast 1/4 of said Section 18, and along the Northerly right-of-way line of said old K-32 Highway, a distance of 589.84 feet, less that part taken or used for road purposes.
",(Approx .Add. 3550 Fairbanks Avenue),( C/I ),"Taxes from 2013 thru 2015= $133,252.30"
156143 / FIFT00002  10,419,"Lot 22 and the South 10 Feet of Lot 23, block 1, GROENE PARK, an addition in Kansas City,Wyandotte County, Kansas.",(Approx .Add. 2719 North 9th Street),( V ),"Taxes from 1988 thru 2015= $20,397.53"
072459 / BURG00017  80,427,"Lot 25, Block 122, ARMOURDALE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1315 Hasbrook Avenue),( I ),"Taxes from 2008 thru 2015= $3,303.74"
072508 / GARC00302  80,428,"The North 81 feet of Lot 20, Block 109, ARMOURDALE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1138 H Osage Avenue),( I ),"Taxes from 2011 thru 2015= $2,182.05"
072580 / MEJI00013  80,431,"Lots 28 and 29, Block 101, ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1024 Miami Avenue),( I ),"Taxes from 2011 thru 2015= $2,362.24"
072583 / GARC00071  80,432,"The South 1/2 of Lot 16 and all of Lots 17, 18, 19 and 20, in Block 101, ARMOURDALE, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 837 South 11th Street),( I ),"Taxes from 2008 thru 2015= $3,176.23"
072987 / SMIT00285  80,444,"All of Lot, Tract of Block A, ARMOURDALE, now In and a part of Kansas City, Wyandotte County, Kansas, being A 3 cornered Tract at the Northwest corner of 10th Street and Osage Avenue In Kansas City, Wyandotte County, Kansas, according to the recorded Plat thereof.",(Approx .Add. 1000 & 1008 Osage Avenue),( C/I ),"Taxes from 2013 thru 2015= $21,113.85"
073040 / SILV00020  80,446,"Lot 4, Block 90, ARMOURDALE, an addition in and to Kansas City, Wyandotte County, Kansas.",(Approx .Add. 932 Argentine Boulevard),( I ),"Taxes from 2009 thru 2015= $2,657.68"
073130 / JORD00026   80,447,"Lots 2 & 3, Block 83, ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 903 Osage Avenue),( V ),"Taxes from 2005 thru 2015= $19,876.49"
073873 / JOHN00707  80,450,"Lot 26 and 1/2 vacant alley, in Block 53, ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 838 South Pyle Street),( I ),"Taxes from 2010 thru 2015= $1,765.44"
075210 / MCEL00017  10,454,"Lots 17 and 18, Block 1, CHELSEA PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1942 North 24th Street),( I ),"Taxes from 2006 thru 2012= $6,674.61"
075222 / HARR00111  10,456,"Lots 36 and 37, Block 1, CHELSEA PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1935 North 25th Street),( I ),"Taxes from 2013 thru 2015= $2,608.42"
075529 / GALA00011  10,457,"The North 1/2 of Lot 50 and all of Lots 51 and 52, CROWN HILL, a subdivision in Kansas City, Wyandotte County, Kansas, except that part in road, if any.",(Approx .Add. 1869 North 27th Street),( I ),"Taxes from 2009 thru 2015= $1,664.30"
075338 / HINE00010  10,458,"Lot 52 and the South 1/2 of Lot 53, Block 2, CHELSEA PARK, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1965 North 26th Street),( I ),"Taxes from 2011 thru 2015= $1,759.52"
075842 / MORG00053  10,459,"Lots 16, 17, 18 and 19, in Block 3, UNIVERSITY PLACE, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1723 North 32nd Street),( I ),"Taxes from 2009 thru 2015= $3,671.28"
075900 / ALEX00020  10,461,"Lot 1, ROLLHEISER PLACE SUBDIVISION, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1732 North 32nd Street),( I ),"Taxes from 2013 thru 2015= $2,294.69"
077102 / SAND00190  10,466,"Lot 4 and the West 17 feet of Lot 5, in the RESURVEY OF HILLCREST, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3132 Oakland Avenue),( I ),"Taxes from 2013 thru 2015= $2,519.38"
077202 / ELIZ00006  10,467,"Lot 20 and the East 4 feet of Lot 21, in TAYLOR PLACE, an addition now in and a part of Kansas City, Wyandotte County, Kansas, less and except the South 10 feet thereof taken or used for the widening of Oakland Avenue and subject to any other part thereof in streets, roads or public rigths of way.",(Approx .Add. 1504 North 30th Street),( I ),"Taxes from 2009 thru 2015= $1,785.15"
077212 / JONE00106  10,468,"The South 34.11 feet of Lot 12 and the North 4.92 feet of Lot 13, TAYLOR PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1405 North 30th Street),( I ),"Taxes from 2010 thru 2015= $3,367.55"
077340 / HICK00022  10,470,"Lots 16 and 17 and the North 5 feet of Lot 18, Block 2, ENGLEWOOD ADDITION, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1517 North 28th Street A),( I ),"Taxes from 2008 thru 2015= $15,566.23"
077345 / ROGE00030  10,471,"Lots 3, 4, 5, 6, 7 and 8, in Block 3, ENGLEWOOD, and the East 1/2 of vacated alley adjoining on the West side, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1510 North 28th Street),( I ),"Taxes from 2013 thru 2015= $4,240.04"
077465 / MCIN00021  10,472,"The South 5 feet of Lot 21 and all of Lot 22, Block 1, WOODLAWN ADDITION TO KENSINGTON, an addition in Kansas, Wyandotte County, Kansas.",(Approx .Add. 1301 North 28th Street),( I ),"Taxes from 2007 thru 2015= $3,354.49"
079423 / COLE00102  30,477,"Lot 74, LUST GARDENS, a subdivision in the city of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2946 South 36th Street),( V ),"Taxes from 2006 thru 2015= $15,629.49"
080108 / JACK00232  10,479,"The East 21 feet of Lot 24, Block 1, in BELMONT, and part of Block 62 in City of Wyandotte, also known as Original Old Town of Wyandotte, now known as WYANDOTTE CITY, now in and a part of Kansas City, Wyandotte County, Kansas, described as follows:

Beginning at the Southeast corner of Lot 24, in Block 1, BELMONT; thence running East 9 feet to a line parallel with the East line of said Lot 24; thence North 133 feet to a point 9 feet East of the Northeast corner of said Lot 24; thence West 9 feet to the East line of Lot 24; thence South along said East line to the point of beginning; and also the 10 feet of Lot 40, Block 62, WYANDOTTE CITY, (Original Old City of Wyandotte), all being in Kansas City, Wyandotte County, Kansas.
",(Approx .Add. 1128 Oakland Avenue),( I ),"Taxes from 2013 thru 2015= $2,415.43"
194612 / DAVE00008  10,483,"Lot 31, FREDERICK HEIGHTS, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3106 Georgia Avenue),( I ),"Taxes from 1997 thru 2015= $12,957.49"
200100 / GROO00005  110,485,"Lots 25 and 26, Block 8, CORONADO SUBDIVISION TO SARATOGA PARK, a subdivision in the City of Bonner Springs, Wandotte County, Kansas.",(Approx .Add. 110 South Neconi Avenue 202 West Kump Avenue),( I ),"Taxes from 2013 thru 2015= $4,038.00"
201122 / CRUZ00013  130,487,"The South 1/2 of Lot 9, KREIDER FARMS, less that part used by Book 5534, at Page 13, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1711 South 98th Street),( I ),"Taxes from 2013 thru 2015= $4,021.83"
212809 / ROBI00199  10,490,"Lot 17, Block 2, BOSTON PLACE ANNEX, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 129 South 14th Street),( I ),"Taxes from 2011 thru 2015= $2,375.28"
215804 / HAMI00036  10,491,"Lot 11, MELODY APRIL ESTATES, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 7548 & 7550 Lathrop Avenue),( V ),"Taxes from 1981 thru 2015= $50,958.29"
239906 / MONA00004  30,494,"Lot 7, LUST ESTATES, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3817 Lust Drive),( I ),"Taxes from 2007 thru 2013= $5,447.38"
255703 / BACA00013  60,496,"Part of the West 1/2 of the Southwest 1/4 of Section 23, Township 10 South, Range 23 East, Kansas City, Wyandotte County, Kansas, more particularly described as follows:

Commencing at a point 46.00 feet East and 40.00 feet North of the Southwest corner of the Southwest 1/4 of Section 23, Township 19 South, Range 23 East, thence North 01 degrees 53� West 10229 feet, parallel to the West line of said Section 23; thence North 01 degrees 8� 58� West 576.52 feet; thence North 01 degrees 53� West 905.00 feet to the true point of beginning; thence North 01 degrees 53� West 300.00 feet; thence North 88 degrees 21� 21� East 500.00 feet; thence South 01 degrees 53� East 300.00; thence South 68 degrees 21� 21� West 500.00 feet to the point of 8eginning, less that part taken or used for road purposes, including but not limited to that part conveyed in Book 1584, Page 222.
Also described as: Lot 4 HUTTON ESTATES, a subdivision of land in Kansas City, Wyandotte County, Kansas.
",(Approx .Add. 4133 North 107th Street),( I ),"Taxes from 2013 thru 2015= $4,338.57"
906611 / JORD00056  10,498,"That part of the Southwest Quarter of the Northwest Quarter of Section 33, Township 10 South, Range 25 East of the sixth principal meridian, described as follows: Beginning at a point on the East line of 12th Street as said street is now established, said point being 126 feet East and 10 feet North of the Southwest corner of said Quarter-Quarter section 92 72.85 feet to a point in the South line of Quindaro Boulevard as said boulevard is now established; thence Northwesterly along the South line of Quindaro Boulevard 96.39 feet to a point in the East line of 12th Street; thence South along the East line of 12th Street 101.96 feet to the point of beginning less that part taken or used for road purposes.",(Approx .Add. 1149 Quindaro Boulevard),( C/I ),"Taxes from 2010 thru 2015= $8,940.08"
909005 / HMON00001  80,504,"TRACT 1:

A tract of land in the Northeast Quarter of Section 20, Township 11, Range 25, Kansas City, Wyandotte County, Kansas, described as follows:
A tract of land beginning 60 feet due East and 192.5 feet, South of the Northeast corner of Block 7, in ARMOURDALE ANNEX, an addition in and a part of Kansas City, Wyandotte County, Kansas, according to the plat thereof on file in the Office of the Register of Deeds of Wyandotte County, Kansas; said point of beginning being also a point 5 feet South of the Northwest corner of Lot 28 in Block 6, ARMOURDALE ANNEX, according to the recorded plat thereof and running thence North 192.5 feet to the South line of Osage Avenue as said avenue is now located and established; running thence East along the South line of Osage Avenue 225 feet; thence South 400 feet; thence due West a distance of 75 feet to the Southeast corner of Lot 6 in Block 6, ARMOURDALE ANNEX; thence North 45 feet; thence Northwesterly to the point of beginning. TRACT II:
A tract of land in the Northeast Quarter of Section 20, Township 11, Range 25, Kansas City, Wyandotte County, Kansas, described as follows:
A portion of Block 6, in ARMOURDALE ANNEX, an addition in and a part of Kansas City, Wyandotte County, Kansas, according to the plat thereof on file in the Office of the Register of Deeds of Wyandotte County, Kansas, described as follows, to wit:
Beginning at a point in the South line of said Block 6, which is 115 feet East of the Southwest corner thereof, said point being 15 feet Northeasterly from as measured normal to the center line of the Kansas and Missouri Railway and Terminal Company�s 2114 foot side track; running thence Northwesterly along said side track to a point in the West line of said Block 6, 146.5 feet North of the Southwest corner thereof; thence North 61 feet to a point 5 feet South of the Northwest corner of Lot 28 in said Block 6, in ARMOURDALE ANNEX, according to the plat thereof; thence Southeasterly to a point in the East line of Lot 6 of said Block 6, which is 45 feet North of the Southeast corner thereof; thence South 45 feet to the said Southeast corner of Lot 6, thence West 35 feet to the point of beginning.
",(Approx .Add. 1900 Osage Avenue),( C/I ),"Taxes from 2011 thru 2015= $73,576.18"
909402 / COOK00108  10,505,"The West 60 feet of a parcel of land located North of Sandusky and West of the 12 foot alley adjoining the West side of Block 3, PLEASANT HILL ADDITION NO. 1, to Kansas City, Wyandotte County, Kansas, more particularly described as follows: Beginning at a point in the North line of Sandusky Avenue 132.0 feet West of the West line of 22nd Street, thence West along said North line of Sandusky Avenue 122.0 feet, thence North at right angles 45.0 feet, thence Northeasterly 42 feet more or less to a point 125.0 feet North of the North line of Sandusky Avenue and 132.0 feet West of the West line of 22nd Street, thence South 125.0 feet to a point of beginning being a tract of land in the Northeast 1/4 Section of Section 8, Township 11, Range 25.

A tract of land in the Northeast Quarter of Section 8, Township 11 South Range 25 East of Sixth Principal Meridian in Kansas City, Wyandotte County, Kansas, being more particularly described as follows:  Beginning at a point on the North right-of-way line of Sandusky Avenue, as now established 134 feet West of the Southwest corner of Lot 6, Block 3, ""PLEASANT HILL ADDITION NO. 1"", a subdivision of land in Kansas City, Wyandotte County, Kansas; thence North 0� 00 minutes 00 seconds West 45 feet; thence North 56� 44 minutes 44 seconds East 71.75 feet; thence North 0� 00 minutes 00 seconds West 47.20 feet; thence South 52� 02 minutes 04 seconds West 238.20 feet; thence South 90� 00 minutes 00 seconds East 89.41 feet, along the North line of a tract of land described in Book 2459 at Page 337 in the Wyandotte County Register of Deeds Office, to a point on the Westerly right-of-way, line of Sandusky Avenue, as now established, hence North 68 degrees 39 minutes 47 seconds, East 41.21 feet, along said Westerly right-of-way line, to the point of beginning of the tract herein described, containing 8,692 square feet of 0.1995 acres, more or less",(Approx .Add. 2218 Sandusky Avenue),( I ),"Taxes from 2012 thru 2015= $2,994.57"
914818 / WILD00003  80,506,"Beginning at the Southeast corner of the Northeast Quarter of the Southwest Quarter of Section 18, Township 11, Range 25 East of the 6th P.M., in Wyandotte County, Kansas, thence North 191 1/8 feet; thence West 660 feet; thence South 191 1/8 feet; thence East 660 feet to the point of beginning, EXCEPT the following described property: A Tract of land in the Northeast Quarter of the Southwest Quarter of Section 18, Township 11 South, Range 25 East of the 6th P.M., Wyandotte County, Kansas, described as follows:
Beginning at a point on the East line, 189.9 feet North of the Southeast corner of said Northeast Quarter of the Southwest Quarter Section; thence North 1.2 feet along said East line; thence West, parallel to the South line of said Northeast Quarter of the Northwest Quarter Section 660.0 feet; thence South, parallel to said East line, 191.13 feet; thence East 119.22 feet along the South line of said Northeast Quarter of the Southwest Quarter Section to the existing right of way line of present Interstate 635; thence Northwesterly, 108.3 feet along said right of way line; thence North 63 degrees 02 minutes East, 188.9 feet; thence North 87 degrees 17 minutes East to the place of beginning, ALSO EXCEPT the following described property: Beginning at the Southwest corner of the East 1/2 of the Northeast Quarter of the Southwest Quarter of Section 18, Township 11, Range 25, in Wyandotte County, Kansas; thence North 175.72 feet; thence Southeast to a point on the South line of said Quarter Quarter Section, which is 119.22 feet East of the point of beginning; thence West 119.22 feet to the point of beginning, ALSO EXCEPT any part thereof taken or used for road purposes.
 ",(Approx .Add. 336 South 42nd Street),( C/I ),"Taxes from 2013 thru 2015= $42,133.35"
916843 / BOYD00079  10,507,"A portion of the right of way of the Kansas City, Leavenworth & Western Transporation Company through the Northwest Quarter of section 36, Township 10, Range 24, Wyandotte County, Kansas described as follows:  Commencing at a point in the South line of Leavenworth Road (No. 5 Highway) where the East line of Myrtle Avenue (formerly Edna Avenue in Welborn's First Addition) intersects the same, said point also being the Westerly line of the right way of said Kansas City, Leavenworth & Western Transportation Company, thence in a Southeasterly direction along said right of way line 350 feet, thence East parallel with said Leavenworth Road (No. 5 Highway) to the Northeast line of the right of way of said Kansas City, Leavenworth & Westen Transportation Company, thence Northwesterly along said Northeasterly right of the line to the South line of Leavenworth Road (No. 5 Highway), thence West on said South line to beginning. ",(Approx .Add. 5001 Leavenworth Road),(C\/I),"Taxes from 2006 thru 2015= $91,156.99"
068775 / SHAV00004  10,517,"The South 26 1/2 feet of Lots 40 and 41, in Block 2, CHELSEA PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2001 North 22nd Street),( V ),"Taxes from 2008 thru 2015= $15,284.67"
